#abgabe.csv
#Subair
#Kirimow
#12321260
group,number,graph_name,edge_probability,duration,node_expansions
rand-n40-fifo-maxdegree-trivial,46,rand_n40_p15_1.graphml,15,218095200,1993
rand-n40-fifo-maxdegree-trivial,47,rand_n40_p20_1.graphml,20,268585200,2111
rand-n40-fifo-maxdegree-trivial,48,rand_n40_p25_1.graphml,25,195883400,1377
rand-n40-fifo-maxdegree-trivial,49,rand_n40_p30_1.graphml,30,206116100,1303
rand-n40-fifo-maxdegree-trivial,50,rand_n40_p35_1.graphml,35,102632500,479
rand-n40-fifo-maxdegree-trivial,51,rand_n40_p40_1.graphml,40,155509100,987
rand-n40-fifo-maxdegree-trivial,52,rand_n40_p45_1.graphml,45,117897000,533
rand-n40-fifo-maxdegree-trivial,53,rand_n40_p50_1.graphml,50,119537000,519
rand-n40-fifo-maxdegree-trivial,54,rand_n40_p55_1.graphml,55,123783800,509
rand-n40-fifo-maxdegree-trivial,55,rand_n40_p60_1.graphml,60,97095500,341
rand-n40-fifo-maxdegree-trivial,56,rand_n40_p65_1.graphml,65,76089600,227
rand-n40-fifo-maxdegree-trivial,57,rand_n40_p70_1.graphml,70,82445600,237
rand-n40-fifo-maxdegree-trivial,58,rand_n40_p75_1.graphml,75,81781800,199
rand-n40-fifo-maxdegree-trivial,59,rand_n40_p80_1.graphml,80,88204900,163
rand-n40-fifo-maxdegree-trivial,60,rand_n40_p85_1.graphml,85,79650600,131
rand-n40-fifo-maxdegree-trivial,61,rand_n40_p90_1.graphml,90,72273800,79
rand-n40-fifo-maxdegree-trivial,62,rand_n40_p95_1.graphml,95,78160900,75
rand-n40-fifo-maxdegree-trivial,63,rand_n40_p100_1.graphml,100,83616300,79
rand-n40-fifo-maxdegree-hansen,64,rand_n40_p0_1.graphml,0,35200,1
rand-n40-fifo-maxdegree-hansen,65,rand_n40_p5_1.graphml,5,60865600,579
rand-n40-fifo-maxdegree-hansen,66,rand_n40_p10_1.graphml,10,119391900,1131
rand-n40-fifo-maxdegree-hansen,67,rand_n40_p15_1.graphml,15,164501800,1249
rand-n40-fifo-maxdegree-hansen,68,rand_n40_p20_1.graphml,20,184470200,1331
rand-n40-fifo-maxdegree-hansen,69,rand_n40_p25_1.graphml,25,161403100,917
rand-n40-fifo-maxdegree-hansen,70,rand_n40_p30_1.graphml,30,143262200,853
rand-n40-fifo-maxdegree-hansen,71,rand_n40_p35_1.graphml,35,78503000,345
rand-n40-fifo-maxdegree-hansen,72,rand_n40_p40_1.graphml,40,114427900,577
rand-n40-fifo-maxdegree-hansen,73,rand_n40_p45_1.graphml,45,100374700,365
rand-n40-fifo-maxdegree-hansen,74,rand_n40_p50_1.graphml,50,98250000,373
rand-n40-fifo-maxdegree-hansen,75,rand_n40_p55_1.graphml,55,97853800,375
rand-n40-fifo-maxdegree-hansen,76,rand_n40_p60_1.graphml,60,79728100,241
rand-n40-fifo-maxdegree-hansen,77,rand_n40_p65_1.graphml,65,48720600,81
rand-n40-fifo-maxdegree-hansen,78,rand_n40_p70_1.graphml,70,54676400,101
rand-n40-fifo-maxdegree-hansen,79,rand_n40_p75_1.graphml,75,67718700,87
rand-n40-fifo-maxdegree-hansen,80,rand_n40_p80_1.graphml,80,64903400,71
rand-n40-fifo-maxdegree-hansen,81,rand_n40_p85_1.graphml,85,71978500,73
rand-n40-fifo-maxdegree-hansen,82,rand_n40_p90_1.graphml,90,73077100,73
rand-n40-fifo-maxdegree-hansen,83,rand_n40_p95_1.graphml,95,73799100,71
rand-n40-fifo-maxdegree-hansen,84,rand_n40_p100_1.graphml,100,223200,1
rand-n40-best-lex-trivial,85,rand_n40_p0_1.graphml,0,10952400,1
rand-n40-best-lex-trivial,86,rand_n40_p5_1.graphml,5,641126200,7031
rand-n40-best-lex-trivial,87,rand_n40_p10_1.graphml,10,989372400,9116
rand-n40-best-lex-trivial,88,rand_n40_p15_1.graphml,15,1780668200,15644
rand-n40-best-lex-trivial,89,rand_n40_p20_1.graphml,20,1290537600,11213
rand-n40-best-lex-trivial,90,rand_n40_p25_1.graphml,25,498719100,4644
rand-n40-best-lex-trivial,91,rand_n40_p30_1.graphml,30,590870900,5428
rand-n40-best-lex-trivial,92,rand_n40_p35_1.graphml,35,261355400,1877
rand-n40-best-lex-trivial,93,rand_n40_p40_1.graphml,40,289367700,2544
rand-n40-best-lex-trivial,94,rand_n40_p45_1.graphml,45,155741100,885
rand-n40-best-lex-trivial,95,rand_n40_p50_1.graphml,50,180982000,1016
rand-n40-best-lex-trivial,96,rand_n40_p55_1.graphml,55,136714200,1058
rand-n40-best-lex-trivial,97,rand_n40_p60_1.graphml,60,86566000,400
rand-n40-best-lex-trivial,98,rand_n40_p65_1.graphml,65,74692900,333
rand-n40-best-lex-trivial,99,rand_n40_p70_1.graphml,70,75559700,355
rand-n40-best-lex-trivial,100,rand_n40_p75_1.graphml,75,66121200,237
rand-n40-best-lex-trivial,101,rand_n40_p80_1.graphml,80,59627500,187
rand-n40-best-lex-trivial,102,rand_n40_p85_1.graphml,85,57075600,174
rand-n40-best-lex-trivial,103,rand_n40_p90_1.graphml,90,52486200,127
rand-n40-best-lex-trivial,104,rand_n40_p95_1.graphml,95,59374400,95
rand-n40-best-lex-trivial,105,rand_n40_p100_1.graphml,100,62910600,79
rand-n40-best-lex-hansen,106,rand_n40_p0_1.graphml,0,11500,1
rand-n40-best-lex-hansen,107,rand_n40_p5_1.graphml,5,258721800,3191
rand-n40-best-lex-hansen,108,rand_n40_p10_1.graphml,10,561255400,5340
rand-n40-best-lex-hansen,109,rand_n40_p15_1.graphml,15,841669100,7017
rand-n40-best-lex-hansen,110,rand_n40_p20_1.graphml,20,704361400,5770
rand-n40-best-lex-hansen,111,rand_n40_p25_1.graphml,25,257384200,2113
rand-n40-best-lex-hansen,112,rand_n40_p30_1.graphml,30,278793900,2301
rand-n40-best-lex-hansen,113,rand_n40_p35_1.graphml,35,129649200,810
rand-n40-best-lex-hansen,114,rand_n40_p40_1.graphml,40,187580500,1255
rand-n40-best-lex-hansen,115,rand_n40_p45_1.graphml,45,75391600,416
rand-n40-best-lex-hansen,116,rand_n40_p50_1.graphml,50,80162300,445
rand-n40-best-lex-hansen,117,rand_n40_p55_1.graphml,55,77527600,433
rand-n40-best-lex-hansen,118,rand_n40_p60_1.graphml,60,48123900,171
rand-n40-best-lex-hansen,119,rand_n40_p65_1.graphml,65,47719900,127
rand-n40-best-lex-hansen,120,rand_n40_p70_1.graphml,70,47518900,131
rand-n40-best-lex-hansen,121,rand_n40_p75_1.graphml,75,39336600,89
rand-n40-best-lex-hansen,122,rand_n40_p80_1.graphml,80,41555000,71
rand-n40-best-lex-hansen,123,rand_n40_p85_1.graphml,85,51285300,63
rand-n40-best-lex-hansen,124,rand_n40_p90_1.graphml,90,41861300,51
rand-n40-best-lex-hansen,125,rand_n40_p95_1.graphml,95,40527200,51
rand-n40-best-lex-hansen,126,rand_n40_p100_1.graphml,100,381700,1
rand-n40-best-maxdegree-trivial,127,rand_n40_p0_1.graphml,0,9000,1
rand-n40-best-maxdegree-trivial,128,rand_n40_p5_1.graphml,5,77387100,971
rand-n40-best-maxdegree-trivial,129,rand_n40_p10_1.graphml,10,138978400,1387
rand-n40-best-maxdegree-trivial,130,rand_n40_p15_1.graphml,15,224562100,1979
rand-n40-best-maxdegree-trivial,131,rand_n40_p20_1.graphml,20,252769600,2111
rand-n40-best-maxdegree-trivial,132,rand_n40_p25_1.graphml,25,186643500,1367
rand-n40-best-maxdegree-trivial,133,rand_n40_p30_1.graphml,30,175333300,1303
rand-n40-best-maxdegree-trivial,134,rand_n40_p35_1.graphml,35,92458700,479
rand-n40-best-maxdegree-trivial,135,rand_n40_p40_1.graphml,40,158911100,987
rand-n40-best-maxdegree-trivial,136,rand_n40_p45_1.graphml,45,110193100,471
rand-n40-best-maxdegree-trivial,137,rand_n40_p50_1.graphml,50,109194000,519
rand-n40-best-maxdegree-trivial,138,rand_n40_p55_1.graphml,55,107468100,509
rand-n40-best-maxdegree-trivial,139,rand_n40_p60_1.graphml,60,77142300,289
rand-n40-best-maxdegree-trivial,140,rand_n40_p65_1.graphml,65,77027300,227
rand-n40-best-maxdegree-trivial,141,rand_n40_p70_1.graphml,70,76407700,237
rand-n40-best-maxdegree-trivial,142,rand_n40_p75_1.graphml,75,71015800,175
rand-n40-best-maxdegree-trivial,143,rand_n40_p80_1.graphml,80,69009500,147
rand-n40-best-maxdegree-trivial,144,rand_n40_p85_1.graphml,85,70142600,131
rand-n40-best-maxdegree-trivial,145,rand_n40_p90_1.graphml,90,68492800,79
rand-n40-best-maxdegree-trivial,146,rand_n40_p95_1.graphml,95,70582300,87
rand-n40-best-maxdegree-trivial,147,rand_n40_p100_1.graphml,100,75914200,79
rand-n40-best-maxdegree-hansen,148,rand_n40_p0_1.graphml,0,14500,1
rand-n40-best-maxdegree-hansen,149,rand_n40_p5_1.graphml,5,50351900,579
rand-n40-best-maxdegree-hansen,150,rand_n40_p10_1.graphml,10,89332100,871
rand-n40-best-maxdegree-hansen,151,rand_n40_p15_1.graphml,15,148284100,1243
rand-n40-best-maxdegree-hansen,152,rand_n40_p20_1.graphml,20,182381300,1331
rand-n40-best-maxdegree-hansen,153,rand_n40_p25_1.graphml,25,143355100,901
rand-n40-best-maxdegree-hansen,154,rand_n40_p30_1.graphml,30,137928100,853
rand-n40-best-maxdegree-hansen,155,rand_n40_p35_1.graphml,35,69548200,345
rand-n40-best-maxdegree-hansen,156,rand_n40_p40_1.graphml,40,105801800,577
rand-n40-best-maxdegree-hansen,157,rand_n40_p45_1.graphml,45,88969500,349
rand-n40-best-maxdegree-hansen,158,rand_n40_p50_1.graphml,50,97079300,373
rand-n40-best-maxdegree-hansen,159,rand_n40_p55_1.graphml,55,101190700,375
rand-n40-best-maxdegree-hansen,160,rand_n40_p60_1.graphml,60,49490200,141
rand-n40-best-maxdegree-hansen,161,rand_n40_p65_1.graphml,65,43636200,81
rand-n40-best-maxdegree-hansen,162,rand_n40_p70_1.graphml,70,54954700,101
rand-n40-best-maxdegree-hansen,163,rand_n40_p75_1.graphml,75,51351600,71
rand-n40-best-maxdegree-hansen,164,rand_n40_p80_1.graphml,80,58855800,71
rand-n40-best-maxdegree-hansen,165,rand_n40_p85_1.graphml,85,67620900,73
rand-n40-best-maxdegree-hansen,166,rand_n40_p90_1.graphml,90,67554500,73
rand-n40-best-maxdegree-hansen,167,rand_n40_p95_1.graphml,95,76693400,71
rand-n40-best-maxdegree-hansen,168,rand_n40_p100_1.graphml,100,192700,1
